| Terrorism | Afghanistan |
| Terrorist groups - foreign based: | note: plays a leading role in planning and executing high-profile attacks against Afghan personnel, NATO's Resolute Support Mission, US and Coalition Forces, and other US and Western interests (April 2018) |
| Terrorist groups - foreign based: | Harakat ul-Jihad-i-Islami (HUJI): |
| Terrorist groups - foreign based: | aim(s): implement sharia in Afghanistan; enhance its networks and drive foreign troops from Afghanistan |
| Terrorist groups - foreign based: | area(s) of operation: operations throughout Afghanistan, targeting primarily Afghan Government personnel and Coalition forces (April 2018) |
| Terrorist groups - foreign based: | Harakat ul-Mujahidin (HUM): |
| Terrorist groups - foreign based: | aim(s): enhance its networks and paramilitary training in Afghanistan and, ultimately, incorporate Kashmir into Pakistan; establish an Islamic state in Kashmir |
| Terrorist groups - foreign based: | area(s) of operation: maintains paramilitary training camps in eastern Afghanistan (April 2018) |
| Terrorist groups - foreign based: | Jaish-e-Mohammed (JEM): |
| Terrorist groups - foreign based: | aim(s): participate in the insurgency against Afghan and international forces to support a Taliban return to power in Afghanistan and annex the Indian state of Jammu and Kashmir to Pakistan |
| Terrorist groups - foreign based: | area(s) of operation: historically operated in Afghanistan's eastern provinces (April 2018) |
| Terrorist groups - foreign based: | Jaysh al Adl: |
| Terrorist groups - foreign based: | aim(s): enhance its operational networks and capabilities for staging cross-border attacks into Pakistan and Iran |
| Terrorist groups - foreign based: | area(s) of operation: operational in the greater Balochistan area, where fighters stage attacks targeting Shia Muslims in Iran and Pakistan |
| Terrorist groups - foreign based: | note: formerly known as Jundallah (April 2018) |
| Terrorist groups - foreign based: | Lashkar i Jhangvi (LJ): |
| Terrorist groups - foreign based: | aim(s): enhance its networks and paramilitary training in Afghanistan; exterminate Shia Muslims, rid the Afghanistan-Pakistan region of Western influence |
| Terrorist groups - foreign based: | area(s) of operation: headquartered in the east; operates paramilitary training camps near the Afghanistan-Pakistan border across from the central area of Pakistan's Federally Administered Tribal Areas (FATA) region; operatives conduct operations inside Afghanistan (April 2018) |
| Terrorist groups - foreign based: | Lashkar-e Tayyiba (LT): |
| Terrorist groups - foreign based: | aim(s): annex the Indian state of Jammu and Kashmir to Pakistan and foment Islamic insurgency in India; attack Western, Indian, and Afghan interests in Afghanistan; support the Taliban's return to power; enhance its recruitment networks and paramilitary training in Afghanistan, and, ultimately, install Islamic rule throughout South Asia |
| Terrorist groups - foreign based: | area(s) of operation: targets Coalition forces and Western interests throughout the country; maintains several facilities, such as paramilitary training camps, medical clinics serving locals, and schools for youths; targets Pashtun youth for recruitmentAdministered Tribal Areas (FATA) region; operatives conduct operations inside Afghanistan (April 2018) |
